file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\postgres-persistence\src\test\java\com\netflix\conductor\postgres\dao\PostgresPollDataDAOCacheTest.java,com.netflix.conductor.postgres.dao.PostgresPollDataDAOCacheTest,class,20,21,1,20,8,1,0,23,0,0.65,0.33333334,0.33333334,5,0,3,2,0,0,3,0,0,0,4,0,0,3,0,1,0,0,3,51,1,1,0,3,2,31,7,10,1,13,2,0,0,0,66,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\core\src\main\java\com\netflix\conductor\core\execution\tasks\SubWorkflow.java,com.netflix.conductor.core.execution.tasks.SubWorkflow,class,12,17,5,12,26,2,0,43,19,0.8095238,0.06666667,0.06666667,7,0,6,1,0,0,6,0,0,0,3,2,0,3,0,0,3,0,1,115,6,0,3,1,0,15,0,24,2,20,2,0,0,0,105,1,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\client\src\test\java\com\netflix\conductor\client\automator\TaskPollExecutorTest.java,com.netflix.conductor.client.automator.TaskPollExecutorTest,class,12,13,1,12,16,1,0,62,0,0.36666667,0.63736266,0.72527474,15,0,14,1,0,0,14,0,0,0,2,2,0,2,0,0,2,0,32,386,13,1,0,0,0,34,88,107,0,121,1,4,0,28,92,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\core\src\main\java\com\netflix\conductor\core\execution\mapper\HumanTaskMapper.java,com.netflix.conductor.core.execution.mapper.HumanTaskMapper,class,8,10,2,8,3,1,0,15,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,1,1,1,0,0,2,0,2,22,2,0,0,0,0,1,0,6,0,6,0,0,0,0,44,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\core\src\main\java\com\netflix\conductor\dao\MetadataDAO.java,com.netflix.conductor.dao.MetadataDAO,interface,2,40,38,2,12,1,0,0,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\sdk\src\test\java\com\netflix\conductor\sdk\workflow\executor\task\Car.java,com.netflix.conductor.sdk.workflow.executor.task.Car,class,0,3,3,0,2,1,0,0,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\common-persistence\src\test\java\com\netflix\conductor\dao\TestBase.java,com.netflix.conductor.dao.TestBase,class,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\nats\src\main\java\com\netflix\conductor\contribs\queue\nats\NATSObservableQueue.java,com.netflix.conductor.contribs.queue.nats.NATSObservableQueue,class,7,9,2,7,16,2,0,18,0,0.47619048,0.61904764,0.71428573,7,0,7,0,0,0,7,0,0,0,3,1,0,3,0,0,1,0,0,70,2,0,4,4,1,11,0,7,5,6,2,0,0,2,56,1,7
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\core\src\main\java\com\netflix\conductor\core\execution\mapper\StartWorkflowTaskMapper.java,com.netflix.conductor.core.execution.mapper.StartWorkflowTaskMapper,class,7,8,1,7,2,1,0,12,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,16,2,0,0,0,0,1,0,3,0,3,0,0,0,0,30,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\StartWorkflowRequest.java,com.netflix.conductor.common.metadata.workflow.StartWorkflowRequest,class,9,24,15,9,31,1,1,0,407,0.90909094,0.06236559,0.06236559,31,0,31,0,0,0,31,0,0,0,11,0,0,11,0,0,0,0,0,115,20,0,0,0,0,3,12,23,0,11,0,0,0,0,48,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\conductor-client\src\main\java\com\netflix\conductor\common\metadata\workflow\SubWorkflowParams.java,SubWorkflowParams,class,10,21,11,10,30,1,0,10,104,0.8571428,0.0,0.0,17,0,17,0,0,0,17,0,0,0,7,0,0,7,0,0,0,0,0,96,13,0,6,0,6,4,0,11,0,8,2,0,0,0,53,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\postgres-persistence\src\main\java\com\netflix\conductor\postgres\util\QueryFunction.java,com.netflix.conductor.postgres.util.QueryFunction,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\client\src\main\java\com\netflix\conductor\client\http\PayloadStorage.java,com.netflix.conductor.client.http.PayloadStorage,class,8,10,2,8,18,1,0,22,2,0.5,0.33333334,0.33333334,4,0,3,0,0,1,4,0,0,0,2,1,0,2,0,0,2,0,8,98,2,0,5,4,0,17,0,20,0,15,2,0,0,0,103,0,9
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\java-sdk\src\test\java\com\netflix\conductor\sdk\workflow\executor\task\AnnotatedWorkerTests.java,Bike,innerclass,1,3,2,1,2,1,0,0,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\rest\src\main\java\com\netflix\conductor\rest\controllers\ValidationExceptionMapper.java,com.netflix.conductor.rest.controllers.ValidationExceptionMapper,class,22,23,1,22,21,1,0,37,15,0.88888884,NaN,NaN,6,0,1,5,0,0,1,0,0,0,3,2,1,2,0,0,3,0,8,83,17,0,1,0,0,7,0,9,0,9,2,0,0,1,47,1,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\conductor-client\src\main\java\com\netflix\conductor\common\metadata\tasks\TaskResult.java,Status,enum,0,6,6,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\sqlite-persistence\src\main\java\com\netflix\conductor\sqlite\dao\SqliteExecutionDAO.java,com.netflix.conductor.sqlite.dao.SqliteExecutionDAO,class,16,19,3,16,106,2,0,130,1764,0.95,0.006048387,0.006048387,60,3,31,28,0,1,32,0,0,0,1,0,0,1,0,0,1,0,16,463,43,4,10,7,0,91,8,83,14,133,4,0,0,54,227,1,9
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\conductor-client\src\main\java\com\netflix\conductor\client\http\PayloadStorage.java,PayloadStorage,class,17,19,2,17,22,1,0,27,13,0.75,0.0,0.0,6,0,3,2,0,1,4,0,0,0,2,1,0,2,0,0,2,0,0,102,5,1,4,4,1,18,7,22,1,20,2,1,0,0,105,0,9
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\es7-persistence\src\main\java\com\netflix\conductor\es7\dao\query\parser\internal\ParserException.java,com.netflix.conductor.es7.dao.query.parser.internal.ParserException,class,0,9,9,0,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\es7-persistence\src\test\java\com\netflix\conductor\es7\dao\index\ElasticSearchRestDaoBaseTest.java,com.netflix.conductor.es7.dao.index.ElasticSearchRestDaoBaseTest,class,12,15,3,12,5,2,2,14,0,0.33333334,1.0,1.0,3,0,2,1,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,31,0,1,2,0,1,9,3,12,1,12,1,0,0,0,44,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\sdk\src\test\java\com\netflix\conductor\sdk\workflow\testing\Task1Input.java,com.netflix.conductor.sdk.workflow.testing.Task1Input,class,0,1,1,0,5,1,0,0,0,0.4,0.6,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,19,3,0,0,0,0,3,0,2,2,2,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\postgres-persistence\src\main\java\com\netflix\conductor\postgres\dao\PostgresBaseDAO.java,com.netflix.conductor.postgres.dao.PostgresBaseDAO,class,13,20,7,13,24,1,6,40,40,0.7846154,0.25757575,0.42424244,13,0,0,1,11,1,12,0,1,0,5,1,0,2,3,0,5,0,8,134,11,0,0,10,0,5,0,17,0,22,3,0,0,7,143,1025,5
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\sqlite-persistence\src\main\java\com\netflix\conductor\sqlite\dao\SqliteIndexDAO.java,com.netflix.conductor.sqlite.dao.SqliteIndexDAO,class,14,17,3,14,34,2,0,54,417,0.9266666,0.020689655,0.048275862,30,0,30,0,0,0,30,0,0,0,5,2,0,5,0,0,4,0,19,184,24,2,0,0,0,45,5,35,2,48,2,0,0,16,137,1,21
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\core\src\main\java\com\netflix\conductor\core\execution\tasks\SystemTaskRegistry.java,com.netflix.conductor.core.execution.tasks.SystemTaskRegistry,class,2,17,15,2,3,1,0,10,0,0.5,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,1,1,1,0,0,2,0,3,13,2,0,0,0,0,2,0,2,1,2,0,0,0,1,41,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\common\src\main\java\com\netflix\conductor\common\run\ExternalStorageLocation.java,com.netflix.conductor.common.run.ExternalStorageLocation,class,0,6,6,0,5,1,0,0,0,0.4,0.6,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,19,3,0,0,0,0,3,0,2,2,2,0,0,0,0,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\task-status-listener\src\main\java\com\netflix\conductor\contribs\listener\TaskStatusPublisherConfiguration.java,com.netflix.conductor.contribs.listener.TaskStatusPublisherConfiguration,class,9,9,0,9,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,20,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\amqp\src\main\java\com\netflix\conductor\contribs\queue\amqp\util\AMQPSettings.java,com.netflix.conductor.contribs.queue.amqp.util.AMQPSettings,class,3,8,5,3,46,1,0,31,48,0.76488096,0.3857143,1.0,21,0,21,0,0,0,21,0,6,0,16,2,0,16,0,0,5,0,26,153,22,0,9,0,8,28,20,28,1,23,6,0,0,1,106,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\core\src\main\java\com\netflix\conductor\core\events\ActionProcessor.java,com.netflix.conductor.core.events.ActionProcessor,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\rest\src\main\java\com\netflix\conductor\rest\config\RestConfiguration.java,com.netflix.conductor.rest.config.RestConfiguration,class,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\os-persistence\src\main\java\com\netflix\conductor\os\dao\query\parser\internal\ComparisonOp.java,com.netflix.conductor.os.dao.query.parser.internal.ComparisonOp$Operators,enum,0,0,0,0,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,8,0,1,0,1,0,0,0,0,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\conductor-client\src\main\java\com\netflix\conductor\common\metadata\tasks\TaskResult.java,TaskResult,class,8,38,30,8,37,1,0,17,370,0.87215906,0.0,0.0,32,5,32,0,0,0,32,0,0,0,11,0,0,11,0,0,0,0,0,136,19,0,0,0,0,12,2,26,2,13,1,0,1,0,156,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\conductor-client\src\main\java\com\netflix\conductor\common\utils\EnvUtils.java,SystemParameters,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\es6-persistence\src\main\java\com\netflix\conductor\es6\config\ElasticSearchConditions.java,com.netflix.conductor.es6.config.ElasticSearchConditions,class,1,1,0,1,1,2,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\common\src\main\java\com\netflix\conductor\common\constraints\TaskReferenceNameUniqueConstraint.java,com.netflix.conductor.common.constraints.TaskReferenceNameUniqueConstraint$TaskReferenceNameUniqueValidator,class,8,8,0,8,8,1,0,21,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,36,3,1,2,0,0,1,2,6,0,8,2,0,0,3,36,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\es6-persistence\src\main\java\com\netflix\conductor\es6\dao\query\parser\internal\BooleanOp.java,com.netflix.conductor.es6.dao.query.parser.internal.BooleanOp,class,3,6,3,3,13,2,0,4,0,0.16666667,0.6666667,0.6666667,6,0,5,0,1,0,6,0,0,0,1,0,0,1,0,0,0,0,0,31,4,0,5,0,0,7,8,3,1,2,1,0,0,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\orkes-client\src\main\java\io\orkes\conductor\client\model\TerminateWorkflow.java,io.orkes.conductor.client.model.TerminateWorkflow,class,3,4,1,3,6,1,0,0,3,0.5,0.4,0.4,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,24,4,0,0,0,0,0,0,6,0,2,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\conductor-client\src\main\java\com\netflix\conductor\common\metadata\tasks\TaskDef.java,RetryLogic,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\orkes-client\src\main\java\io\orkes\conductor\client\model\ConductorApplication.java,io.orkes.conductor.client.model.ConductorApplication,class,3,7,4,3,9,1,0,0,18,0.6666667,0.25,0.25,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,35,6,0,0,0,0,0,0,9,0,3,0,0,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\core\src\test\java\com\netflix\conductor\core\reconciliation\TestWorkflowRepairService.java,com.netflix.conductor.core.reconciliation.TestWorkflowRepairService$Anonymous1,anonymous,3,3,0,3,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\conductor-client\src\main\java\com\netflix\conductor\common\metadata\workflow\WorkflowTask.java,WorkflowTaskList,innerclass,1,1,0,1,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\conductor-client-spring\src\main\java\com\netflix\conductor\client\spring\ConductorWorkerAutoConfiguration.java,ConductorWorkerAutoConfiguration,class,15,15,0,15,3,1,0,9,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,19,0,0,0,0,0,0,1,7,0,7,1,0,0,0,24,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\annotations-processor\src\main\java\com\netflix\conductor\annotationsprocessor\protogen\Enum.java,com.netflix.conductor.annotationsprocessor.protogen.Enum$MapType,enum,0,0,0,0,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,2,0,1,0,1,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\es6-persistence\src\main\java\com\netflix\conductor\es6\dao\query\parser\internal\ComparisonOp.java,com.netflix.conductor.es6.dao.query.parser.internal.ComparisonOp$Operators,enum,0,0,0,0,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,8,0,1,0,1,0,0,0,0,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\core\src\main\java\com\netflix\conductor\core\execution\mapper\WaitTaskMapper.java,com.netflix.conductor.core.execution.mapper.WaitTaskMapper,class,9,13,4,9,11,1,0,33,4,0.625,0.16666667,0.16666667,4,0,3,0,0,1,4,0,0,0,2,1,1,1,0,0,2,0,9,62,3,0,0,1,3,5,4,16,5,15,3,0,0,0,71,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\rest\src\main\java\com\netflix\conductor\rest\controllers\EventResource.java,com.netflix.conductor.rest.controllers.EventResource,class,12,13,1,12,6,1,0,5,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,21,2,0,0,0,0,11,0,1,0,1,0,0,0,0,29,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\azureblob-storage\src\main\java\com\netflix\conductor\azureblob\storage\AzureBlobPayloadStorage.java,com.netflix.conductor.azureblob.storage.AzureBlobPayloadStorage,class,16,19,3,16,19,1,0,43,0,0.54,1.0,1.0,5,0,4,1,0,0,4,0,0,0,10,2,0,10,0,0,10,0,1,126,3,0,4,3,0,8,0,35,2,30,3,0,0,0,148,1,4
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\core\src\main\java\com\netflix\conductor\core\execution\mapper\JoinTaskMapper.java,com.netflix.conductor.core.execution.mapper.JoinTaskMapper,class,7,11,4,7,3,1,0,18,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,3,22,2,0,0,0,0,2,0,4,0,4,1,0,0,0,43,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\core\src\main\java\com\netflix\conductor\core\index\NoopIndexDAOConfiguration.java,com.netflix.conductor.core.index.NoopIndexDAOConfiguration,class,5,5,0,5,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\orkes-client\src\main\java\io\orkes\conductor\client\model\GrantedAccess.java,io.orkes.conductor.client.model.GrantedAccess$AccessEnum,enum,1,1,0,1,6,1,0,3,0,0.0,0.5,0.5,4,1,3,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,2,19,4,1,0,0,0,5,0,1,0,1,2,0,0,0,26,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\conductor-client\src\main\java\com\netflix\conductor\client\events\taskrunner\PollFailure.java,com.netflix.conductor.client.events.taskrunner.PollFailure,class,3,8,5,3,1,3,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,1,9,0,0,0,0,0,0,0,2,0,2,0,0,0,0,13,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\core\src\main\java\com\netflix\conductor\core\execution\tasks\DoWhile.java,com.netflix.conductor.core.execution.tasks.DoWhile,class,14,15,1,14,31,2,0,64,6,0.5625,0.52380955,0.71428573,8,0,3,1,0,4,7,0,0,0,2,1,0,2,0,0,2,0,7,133,12,4,3,1,1,13,7,27,5,27,3,0,0,4,109,1,9
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\java-sdk\example\java\com\netflix\conductor\sdk\example\shipment\Shipment.java,com.netflix.conductor.sdk.example.shipment.Shipment,class,0,1,1,0,6,1,0,0,3,0.5,0.4,0.6666667,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,22,2,0,0,0,0,0,0,4,0,2,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\rest\src\main\java\com\netflix\conductor\rest\controllers\AdminResource.java,com.netflix.conductor.rest.controllers.AdminResource,class,9,10,1,9,6,1,0,6,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,1,21,5,0,0,0,0,19,0,1,0,1,0,0,0,0,56,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\orkes-client\src\main\java\io\orkes\conductor\client\http\AuthorizationResource.java,io.orkes.conductor.client.http.AuthorizationResource$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\orkes-client\src\main\java\io\orkes\conductor\client\model\GrantedAccess.java,io.orkes.conductor.client.model.GrantedAccess,class,5,7,2,5,8,1,0,1,3,0.5,0.42857143,0.42857143,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,50,5,0,1,0,0,0,0,7,0,2,1,0,1,0,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\core\src\test\java\com\netflix\conductor\service\WorkflowBulkServiceTest.java,com.netflix.conductor.service.WorkflowBulkServiceTest$TestWorkflowBulkConfiguration,innerclass,6,6,0,6,3,1,0,1,3,0.0,0.0,0.0,3,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\client\src\test\java\com\netflix\conductor\client\testing\AbstractWorkflowTests.java,com.netflix.conductor.client.testing.AbstractWorkflowTests,class,16,20,4,16,11,1,3,30,4,0.7,0.3,0.3,5,0,1,0,4,0,5,0,0,0,4,2,0,0,4,0,0,0,1,71,4,1,4,0,0,7,0,19,4,19,3,1,0,0,55,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\orkes-client\src\main\java\io\orkes\conductor\client\model\UpsertUserRequest.java,io.orkes.conductor.client.model.UpsertUserRequest$RolesEnum,enum,1,1,0,1,6,1,0,3,0,0.0,0.5,0.5,4,1,3,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,2,19,4,1,0,0,0,5,0,1,0,1,2,0,0,0,29,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\conductor-clients\java\conductor-java-sdk\conductor-client\src\test\java\com\netflix\conductor\client\testing\RegressionTest.java,RegressionTest,class,9,9,0,9,2,1,0,24,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,2,1,7,0,7,1,0,0,0,55,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\conductor\core\src\main\java\com\netflix\conductor\core\utils\ParametersUtils.java,com.netflix.conductor.core.utils.ParametersUtils,class,14,63,49,14,48,1,0,95,62,0.875,0.0,0.0,12,0,6,6,0,0,6,0,0,0,4,2,0,4,0,0,4,0,5,246,14,4,17,2,1,46,15,48,5,47,4,1,1,3,93,1,1
