file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\cast\CastBooleanToByteFunctionFactory.java,io.questdb.griffin.engine.functions.cast.CastBooleanToByteFunctionFactory$Func,innerclass,2,2,0,2,2,3,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\cutlass\http\RejectProcessorFactory.java,io.questdb.cutlass.http.RejectProcessorFactory,interface,2,5,3,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\griffin\engine\functions\regex\MatchSymbolFunctionFactoryTest.java,io.questdb.test.griffin.engine.functions.regex.MatchSymbolFunctionFactoryTest,class,3,3,0,3,5,2,0,11,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,5,0,30,1,6,2,6,3,0,0,4,48,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\std\NumbersTest.java,io.questdb.test.std.NumbersTest$ExceptionalRunnable,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\cutlass\line\tcp\StaticPublicKeyRepoTest.java,io.questdb.test.cutlass.line.tcp.StaticPublicKeyRepoTest,class,2,2,0,2,2,1,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0,8,0,14,0,14,0,0,0,0,162,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\benchmarks\src\main\java\org\questdb\GroupByLong256HashSetBenchmark.java,org.questdb.GroupByLong256HashSetBenchmark,class,18,19,1,18,5,1,0,19,0,0.625,0.5,0.5,4,1,4,0,0,0,4,0,0,0,8,7,1,7,0,0,6,0,0,37,0,0,0,0,0,4,15,16,3,15,1,0,0,0,40,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\eq\EqByteFunctionFactory.java,io.questdb.griffin.engine.functions.eq.EqByteFunctionFactory$Func,innerclass,2,2,0,2,4,3,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,0,1,0,0,0,0,0,0,0,0,0,11,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\table\SequentialRowCursorFactory.java,io.questdb.griffin.engine.table.SequentialRowCursorFactory,class,10,12,2,10,9,1,0,9,1,0.60714287,0.47619048,0.47619048,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,4,0,0,63,3,2,0,0,0,1,3,8,0,8,1,0,1,0,50,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\union\ExceptAllRecordCursor.java,io.questdb.griffin.engine.union.ExceptAllRecordCursor,class,8,10,2,8,18,2,0,19,42,0.75,0.14545454,0.18181819,12,0,10,1,0,1,11,0,0,0,6,0,0,6,0,0,2,0,0,76,7,2,0,0,0,0,1,12,0,8,2,0,0,0,43,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\log\Log.java,io.questdb.log.Log,interface,1,33,32,1,16,1,0,0,120,0.0,0.0,0.0,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\cast\CastStrToFloatFunctionFactory.java,io.questdb.griffin.engine.functions.cast.CastStrToFloatFunctionFactory,class,8,8,0,8,2,3,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,1,1,0,0,0,0,0,1,0,20,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\std\RndTest.java,io.questdb.test.std.RndTest,class,6,6,0,6,2,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,1,0,0,0,2,4,4,3,4,1,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\math\LeastNumericFunctionFactory.java,io.questdb.griffin.engine.functions.math.LeastNumericFunctionFactory$LeastDoubleRecordFunction,innerclass,7,7,0,7,7,2,0,6,4,0.6,0.3,0.3,5,0,5,0,0,0,5,0,0,0,2,0,0,0,0,2,2,0,1,28,4,1,0,0,0,1,1,7,0,6,2,0,0,0,28,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\conditional\CaseFunction.java,io.questdb.griffin.engine.functions.conditional.CaseFunction,interface,2,19,17,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\griffin\engine\functions\groupby\FirstLongGroupByFunctionFactoryTest.java,io.questdb.test.griffin.engine.functions.groupby.FirstLongGroupByFunctionFactoryTest,class,4,4,0,4,10,2,0,16,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,86,0,4,1,12,0,178,23,27,5,26,3,0,0,0,58,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\regex\LikeSymbolFunctionFactory.java,io.questdb.griffin.engine.functions.regex.LikeSymbolFunctionFactory,class,1,1,0,1,2,3,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\str\SHA1BinFunctionFactory.java,io.questdb.griffin.engine.functions.str.SHA1BinFunctionFactory,class,9,9,0,9,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,45,2,0,0,0,0,1,1,1,0,1,0,0,1,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\cutlass\suspend\TestCase.java,io.questdb.test.cutlass.suspend.TestCase,class,0,3,3,0,4,1,0,0,0,0.5,0.5,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,0,0,3,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\eq\EqDoubleFunctionFactory.java,io.questdb.griffin.engine.functions.eq.EqDoubleFunctionFactory$FuncDoubleIsNaN,innerclass,2,2,0,2,3,3,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,13,12,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\groupby\FirstNotNullCharGroupByFunctionFactory.java,io.questdb.griffin.engine.functions.groupby.FirstNotNullCharGroupByFunctionFactory,class,7,7,0,7,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,1,0,0,0,0,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\bool\InLongFunctionFactory.java,io.questdb.griffin.engine.functions.bool.InLongFunctionFactory$InLongRuntimeConstFunction,innerclass,10,10,0,10,8,2,0,7,0,0.4,0.8,1.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,4,0,1,31,2,0,1,0,0,2,2,5,1,5,1,0,0,0,39,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\client\LineSenderBuilderTest.java,io.questdb.test.client.LineSenderBuilderTest,class,11,12,1,11,118,4,0,50,1074,0.71311474,0.23684211,0.23684211,61,4,57,4,0,0,57,0,0,0,2,2,1,1,0,0,2,0,50,840,0,2,0,64,1,306,34,69,20,73,2,1,0,52,292,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\eq\EqLong256FunctionFactory.java,io.questdb.griffin.engine.functions.eq.EqLong256FunctionFactory$Func,innerclass,3,3,0,3,3,3,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0,0,2,0,2,0,0,0,0,14,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\groupby\FirstShortGroupByFunction.java,io.questdb.griffin.engine.functions.groupby.FirstShortGroupByFunction,class,8,11,3,8,18,2,1,8,57,0.6666667,0.22857143,0.34285715,15,0,15,0,0,0,15,0,0,0,2,0,0,0,2,0,1,0,0,57,7,0,2,0,1,1,6,5,5,4,1,0,0,0,40,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\groupby\CountFloatGroupByFunctionFactory.java,io.questdb.griffin.engine.functions.groupby.CountFloatGroupByFunctionFactory,class,7,7,0,7,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,1,0,0,0,0,0,0,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\cutlass\http\line\MockHttpProcessor.java,io.questdb.test.cutlass.http.line.MockHttpProcessor$ExpectedRequest,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\cast\CastFloatToBooleanFunctionFactory.java,io.questdb.griffin.engine.functions.cast.CastFloatToBooleanFunctionFactory$Func,innerclass,2,2,0,2,3,3,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,1,0,0,0,1,1,0,1,0,0,0,0,12,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\math\RemDoubleFunctionFactory.java,io.questdb.griffin.engine.functions.math.RemDoubleFunctionFactory,class,9,9,0,9,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,1,2,0,0,0,0,0,1,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\griffin\engine\functions\math\DivIntFunctionFactoryTest.java,io.questdb.test.griffin.engine.functions.math.DivIntFunctionFactoryTest,class,4,4,0,4,6,2,0,2,15,0.0,0.0,0.0,6,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,10,0,0,0,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\ops\AbstractOperation.java,io.questdb.griffin.engine.ops.AbstractOperation,class,9,14,5,9,20,1,2,5,129,0.8660288,0.12280702,0.3625731,19,0,18,0,0,1,19,0,0,0,11,1,0,6,1,4,1,0,0,78,10,0,1,0,0,1,1,13,0,11,0,0,0,0,56,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\cutlass\pgwire\modern\DefaultPgWireAuthenticatorFactoryModern.java,io.questdb.cutlass.pgwire.modern.DefaultPgWireAuthenticatorFactoryModern,class,14,16,2,14,4,1,0,2,0,0.16666667,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,1,1,2,0,0,3,0,0,19,1,0,2,0,1,0,0,6,0,5,1,0,0,0,43,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\cairo\RecordArrayTest.java,io.questdb.test.cairo.RecordArrayTest$ClearFunc,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\rnd\RndStringListFunctionFactory.java,io.questdb.griffin.engine.functions.rnd.RndStringListFunctionFactory,class,10,13,3,10,9,2,0,12,3,0.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,54,3,1,4,0,0,2,4,5,0,5,3,0,1,0,31,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\griffin\UpdateTest.java,io.questdb.test.griffin.UpdateTest$Anonymous3,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,1,0,0,0,8,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\groupby\vect\MaxShortVectorAggregateFunction.java,io.questdb.griffin.engine.groupby.vect.MaxShortVectorAggregateFunction,class,5,5,0,5,16,2,0,13,20,0.77777773,0.34848484,0.8333333,12,0,12,0,0,0,12,0,0,0,6,1,1,5,0,0,5,0,0,63,8,0,4,0,0,2,2,9,0,7,2,0,0,0,60,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\griffin\UpdateTest.java,io.questdb.test.griffin.UpdateTest$Anonymous4,anonymous,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2,1,0,0,0,1,0,0,0,8,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\cairo\wal\WalListenerTest.java,io.questdb.test.cairo.wal.WalListenerTest,class,12,12,0,12,6,3,0,37,0,0.25,0.0,0.0,4,3,3,0,0,1,4,0,0,0,1,1,0,1,0,0,1,0,4,114,1,1,0,3,0,10,36,9,2,9,3,0,3,1,55,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\griffin\UpdateTest.java,io.questdb.test.griffin.UpdateTest$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\griffin\UpdateTest.java,io.questdb.test.griffin.UpdateTest$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\cairo\frm\FrameColumnTypePool.java,io.questdb.cairo.frm.FrameColumnTypePool,interface,2,6,4,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\cairo\TableWriterTest.java,X,innerclass,2,4,1,3,3,1,0,3,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,12,3,0,0,0,0,0,0,2,0,1,1,0,0,0,17,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\eq\EqTimestampCursorFunctionFactory.java,io.questdb.griffin.engine.functions.eq.EqTimestampCursorFunctionFactory,class,13,13,0,13,8,4,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,216,5,0,1,0,0,3,14,2,0,2,1,0,3,0,85,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\cutlass\text\TextConfiguration.java,io.questdb.cutlass.text.TextConfiguration,interface,2,14,12,2,15,1,0,0,105,0.0,0.0,0.0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\cutlass\line\tcp\load\LineData.java,io.questdb.test.cutlass.line.tcp.load.LineData,class,8,13,5,8,36,1,0,35,42,0.78021985,0.2888889,0.46666667,13,0,7,3,0,3,10,0,0,1,7,0,0,7,0,0,6,0,4,129,13,6,7,0,0,15,24,34,9,31,4,0,0,0,70,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\groupby\LastVarcharGroupByFunctionFactory.java,io.questdb.griffin.engine.functions.groupby.LastVarcharGroupByFunctionFactory,class,7,7,0,7,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,1,1,1,0,1,0,0,0,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\griffin\ClickBenchTest.java,io.questdb.test.griffin.ClickBenchTest$TestCase,innerclass,0,0,0,0,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\cutlass\http\client\HttpClientException.java,io.questdb.cutlass.http.client.HttpClientException,class,3,11,8,3,9,4,0,3,0,0.42857143,0.7619048,1.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,1,0,0,37,8,0,2,0,0,3,1,4,2,3,1,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\test\java\io\questdb\test\cutlass\http\HttpQueryTestBuilder.java,io.questdb.test.cutlass.http.HttpQueryTestBuilder$HttpClientCode,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\cast\CastGeoHashToGeoHashFunctionFactory.java,io.questdb.griffin.engine.functions.cast.CastGeoHashToGeoHashFunctionFactory$CastGeoShortToStrCharsFunc,innerclass,4,4,0,4,3,3,0,2,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\cast\CastStrToByteFunctionFactory.java,io.questdb.griffin.engine.functions.cast.CastStrToByteFunctionFactory,class,8,8,0,8,2,3,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,1,1,0,0,0,0,0,1,0,20,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\window\LastValueDoubleWindowFunctionFactory.java,io.questdb.griffin.engine.functions.window.LastValueDoubleWindowFunctionFactory$LastNotNullOverUnboundedRowsFrameFunction,innerclass,5,5,0,5,11,3,0,10,25,0.5,0.22222222,0.22222222,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,0,0,0,41,4,0,0,0,0,2,0,5,0,2,1,0,0,0,52,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\catalogue\FunctionListFunctionFactory.java,io.questdb.griffin.engine.functions.catalogue.FunctionListFunctionFactory$FunctionsCursorFactory$FunctionsRecordCursor$FunctionRecord,innerclass,5,5,0,5,10,1,0,8,4,0.53333336,0.16666667,0.16666667,5,0,4,1,0,0,4,0,0,0,3,0,0,3,0,0,1,0,1,38,7,0,5,0,0,2,0,3,2,3,1,0,0,0,42,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\array\IntArrayDereferenceHackFunctionFactory.java,io.questdb.griffin.engine.functions.array.IntArrayDereferenceHackFunctionFactory$StrArrayDereferenceFunction,innerclass,4,4,0,4,6,2,0,1,5,0.5,0.33333334,0.4,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,0,23,4,0,0,0,0,0,1,2,0,2,0,0,0,0,21,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\str\QuoteIdentFunctionFactory.java,io.questdb.griffin.engine.functions.str.QuoteIdentFunctionFactory,class,11,11,0,11,4,2,0,6,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,75,4,0,1,0,0,2,1,4,1,4,2,0,1,0,32,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\cairo\map\Unordered4MapCursor.java,io.questdb.cairo.map.Unordered4MapCursor,class,10,12,2,10,25,1,0,11,12,0.7166667,0.38181818,0.6545454,12,0,9,1,0,2,11,0,0,0,10,0,0,10,0,0,4,0,0,89,7,2,4,0,2,0,9,16,0,13,2,0,0,0,52,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\std\Numbers.java,io.questdb.std.Numbers,class,23,104,81,23,817,1,0,161,21191,0.9846847,0.004675197,0.004675197,210,209,124,86,0,0,128,0,0,0,37,37,20,16,0,1,37,0,320,2991,199,34,210,8,798,33,1884,922,1044,359,6,0,1,1,396,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\table\WriterPoolFunctionFactory.java,io.questdb.griffin.engine.functions.table.WriterPoolFunctionFactory,class,8,8,0,8,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\cairo\pool\PoolConstants.java,io.questdb.cairo.pool.PoolConstants,class,0,2,2,0,6,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,5,5,5,0,0,0,5,0,0,23,6,0,0,0,0,6,5,5,0,5,1,0,0,0,21,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\groupby\StdDevSampleGroupByFunctionFactory.java,io.questdb.griffin.engine.functions.groupby.StdDevSampleGroupByFunctionFactory,class,8,9,1,8,3,2,1,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,0,0,0,1,1,0,0,0,0,0,1,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\questdb\core\src\main\java\io\questdb\std\Long256.java,io.questdb.std.Long256,interface,1,5,4,1,4,1,0,0,6,1.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,26,1,0
